,postalCode,Gemeente,Province
710,9990,Maldegem,Oost-Vlaanderen
711,1020,Brussel,Brussel
713,1120,Brussel,Brussel
714,1130,Brussel,Brussel
716,1301,Wavre,Brabant wallon
730,1331,Rixensart,Brabant wallon
731,1332,Rixensart,Brabant wallon
733,1341,Ottignies-Louvain-la-Neuve,Brabant wallon
734,1342,Ottignies-Louvain-la-Neuve,Brabant wallon
735,1348,Ottignies-Louvain-la-Neuve,Brabant wallon
776,1401,Nivelles,Brabant wallon
777,1402,Nivelles,Brabant wallon
778,1404,Nivelles,Brabant wallon
779,1421,Braine-l'Alleud,Brabant wallon
780,1428,Braine-l'Alleud,Brabant wallon
795,1461,Ittre,Brabant wallon
798,1471,Genappe,Brabant wallon
799,1472,Genappe,Brabant wallon
800,1473,Genappe,Brabant wallon
801,1474,Genappe,Brabant wallon
802,1476,Genappe,Brabant wallon
810,1501,Halle,Vlaams-Brabant
811,1502,Halle,Vlaams-Brabant
813,1541,Herne,Vlaams-Brabant
818,1601,Sint-Pieters-Leeuw,Vlaams-Brabant
819,1602,Sint-Pieters-Leeuw,Vlaams-Brabant
820,1651,Beersel,Vlaams-Brabant
821,1652,Beersel,Vlaams-Brabant
822,1653,Beersel,Vlaams-Brabant
823,1654,Beersel,Vlaams-Brabant
826,1671,Pepingen,Vlaams-Brabant
827,1673,Pepingen,Vlaams-Brabant
828,1674,Pepingen,Vlaams-Brabant
831,1701,Dilbeek,Vlaams-Brabant
832,1702,Dilbeek,Vlaams-Brabant
833,1703,Dilbeek,Vlaams-Brabant
837,1731,Asse,Vlaams-Brabant
839,1741,Ternat,Vlaams-Brabant
840,1742,Ternat,Vlaams-Brabant
851,1761,Roosdaal,Vlaams-Brabant
860,1831,Machelen,Vlaams-Brabant
863,1851,Grimbergen,Vlaams-Brabant
864,1852,Grimbergen,Vlaams-Brabant
865,1853,Grimbergen,Vlaams-Brabant
866,1861,Meise,Vlaams-Brabant
873,1932,Zaventem,Vlaams-Brabant
874,1933,Zaventem,Vlaams-Brabant
876,1981,Zemst,Vlaams-Brabant
877,1982,Zemst,Vlaams-Brabant
890,2221,Heist-op-den-Berg,Antwerpen
891,2222,Heist-op-den-Berg,Antwerpen
893,2223,Heist-op-den-Berg,Antwerpen
899,2242,Zandhoven,Antwerpen
900,2243,Zandhoven,Antwerpen
907,2288,Grobbendonk,Antwerpen
908,2321,Hoogstraten,Antwerpen
909,2322,Hoogstraten,Antwerpen
910,2323,Hoogstraten,Antwerpen
911,2328,Hoogstraten,Antwerpen
913,2381,Ravels,Antwerpen
914,2382,Ravels,Antwerpen
919,2431,Laakdal,Antwerpen
923,2491,Balen,Antwerpen
928,2531,Boechout,Antwerpen
938,2801,Mechelen,Antwerpen
939,2811,Mechelen,Antwerpen
941,2812,Mechelen,Antwerpen
948,2861,Sint-Katelijne-Waver,Antwerpen
955,2890,Puurs-Sint-Amands,Antwerpen
963,3001,Leuven,Vlaams-Brabant
964,3010,Leuven,Vlaams-Brabant
965,3012,Leuven,Vlaams-Brabant
966,3018,Leuven,Vlaams-Brabant
973,3051,Oud-Heverlee,Vlaams-Brabant
974,3052,Oud-Heverlee,Vlaams-Brabant
975,3053,Oud-Heverlee,Vlaams-Brabant
976,3054,Oud-Heverlee,Vlaams-Brabant
978,3061,Bertem,Vlaams-Brabant
979,3071,Kortenberg,Vlaams-Brabant
980,3078,Kortenberg,Vlaams-Brabant
984,3111,Rotselaar,Vlaams-Brabant
985,3118,Rotselaar,Vlaams-Brabant
986,3128,Tremelo,Vlaams-Brabant
990,3191,Boortmeerbeek,Vlaams-Brabant
992,3201,Aarschot,Vlaams-Brabant
993,3202,Aarschot,Vlaams-Brabant
995,3211,Lubbeek,Vlaams-Brabant
996,3212,Lubbeek,Vlaams-Brabant
999,3221,Holsbeek,Vlaams-Brabant
1001,3271,Scherpenheuvel-Zichem,Vlaams-Brabant
1003,3272,Scherpenheuvel-Zichem,Vlaams-Brabant
1008,3293,Diest,Vlaams-Brabant
1009,3294,Diest,Vlaams-Brabant
1019,3321,Hoegaarden,Vlaams-Brabant
1037,3381,Glabbeek,Vlaams-Brabant
1038,3384,Glabbeek,Vlaams-Brabant
1042,3391,Tielt-Winge,Vlaams-Brabant
1050,3401,Landen,Vlaams-Brabant
1054,3404,Landen,Vlaams-Brabant
1061,3454,Geetbets,Vlaams-Brabant
1063,3461,Bekkevoort,Vlaams-Brabant
1065,3471,Kortenaken,Vlaams-Brabant
1066,3472,Kortenaken,Vlaams-Brabant
1067,3473,Kortenaken,Vlaams-Brabant
1069,3501,Hasselt,Limburg
1070,3510,Hasselt,Limburg
1072,3511,Hasselt,Limburg
1074,3512,Hasselt,Limburg
1086,3581,Beringen,Limburg
1087,3582,Beringen,Limburg
1088,3583,Beringen,Limburg
1092,3621,Lanaken,Limburg
1099,3631,Maasmechelen,Limburg
1109,3668,As,Limburg
1110,3670,Oudsbergen,Limburg
1135,3721,Kortessem,Limburg
1136,3722,Kortessem,Limburg
1137,3723,Kortessem,Limburg
1138,3724,Kortessem,Limburg
1142,3732,Hoeselt,Limburg
1153,3742,Bilzen,Limburg
1154,3746,Bilzen,Limburg
